Rep_year_total;Technology_Center;mean_Ext_Comp_Im;mean_Int_Tech_Rel;mean_Ext_Tech_Rel;mean_Int_Comp_Im;mean_Market_Cov;No_Inventor;IPC Level 2 - Total no. of assigned IPC classes;No. of authorities of origin;litigated;Backward citations to non-patent literature
16;2800;1,4484846861485170;0,0215882115504321;1,5067119773696425;0,0200725874644430;0,970669990953277;4;1;3;1;0
16;2800;0,2775315903127192;0,2786963279632960;0,2775315903127192;0,2786963279632960;1,000000000000000;2;2;1;1;0
11;2800;3,1595760385195417;0,1661197443803150;1,6943710247675585;0,3228568217406673;2,009990920623142;10;1;2;1;2
11;2800;2,2949954072634382;0,2740790732204915;2,2949954072634382;0,2740790732204915;1,000000000000000;1;2;1;1;7
8;2800;1,0306430094771915;0,4273087779680886;1,0306430094771915;0,4273087779680886;1,000000000000000;2;2;1;1;16
15;3600;4,0165854273363948;0,0000000000000000;3,3117423802614208;0,0000000000000000;1,232504690531642;3;3;1;1;26
14;3600;7,8432796875635802;0,0574292850991090;4,2816060304641725;0,1131300263106823;1,831748342514039;3;1;1;1;15
6;3600;2,6339793971606662;0,5418395357472562;1,0277562950338646;1,4413740294320243;2,556650332042150;16;3;3;1;2
2;3600;0,6017576853434243;0,4187496403853097;0,4187496403853097;0,6017576853434243;1,462114651997887;2;1;1;1;1
17;3600;2,2923912141058174;0,3733852323558596;1,6141484777132677;0,5251849326822492;1,438148948881361;4;1;2;1;11
16;3600;5,9564219082103049;0,8064704116652993;4,2319754502352556;1,0870817864642421;1,490932878325966;6;1;1;1;0
16;3600;1,4695481552797209;0,5107791108243606;1,0601213416632480;0,7753873677814703;1,413411112392649;8;1;3;1;4
14;3600;3,3349073410034182;0,0000000000000000;3,3349073410034182;0,0000000000000000;1,000000000000000;3;3;1;1;0
17;3600;2,1377068178521261;0,5838118725352812;2,1377068178521261;0,5838118725352812;1,000000000000000;5;1;1;1;0
20;3600;69,7181492760067982;3,4684213229588097;65,4863793509347119;3,7004749320802235;1,063225910777138;26;4;1;1;64
20;3700;3,6200605826008880;0,3130057156085967;3,2480297386646271;0,3380161447539216;1,438924343103455;54;1;1;1;0
16;3700;9,3883303754469907;1,5950820586260619;4,0575344211914945;3,5809980981490184;2,253657109597151;15;3;1;1;1
16;3700;18,7710699193617891;2,5567785150864548;9,3800714997684178;5,3531840268303386;2,051108549622929;13;2;1;1;0
17;3700;3,0371957619984946;0,6642757190598381;1,6806331243779926;1,2257957524723484;1,834539545906914;7;1;1;1;19
12;3700;4,1268735757240886;0,0543630581635695;2,3912064249698939;0,0919496829693131;1,767883227421686;1;2;2;1;0
17;3700;3,0009112060070038;0,7486031618383199;3,0192021528879800;0,7297091384728751;0,983333332671059;2;1;1;1;0
19;3700;24,8552882671356130;5,7466178178787226;14,2467167854309107;10,8539762258529660;1,900510418415070;19;4;1;1;98
13;3700;2,2329774115766803;0,0000000000000000;2,4230639083044885;0,0000000000000000;0,892857138599668;1;1;1;1;1
10;3700;1,9272224469618366;0,0000000000000000;2,0019080422141347;0,0000000000000000;0,945454543287104;12;2;1;1;1
7;3700;0,4974094331264496;1,4876265376806261;0,5863516852259631;1,3351022079586989;0,887499995529652;7;1;1;1;274
15;3700;23,9694586545229029;20,9586500078439748;23,9694586545229029;20,9586500078439748;1,000000000000000;16;3;1;1;1
14;3700;4,9158796946207683;1,9899255156517024;4,9158796946207683;1,9899255156517024;1,000000000000000;8;1;1;1;50
